,0
0,0.0
1,0.0
2,4.440892098500626e-15
3,0.0
4,6.217248937900877e-15
5,0.0
6,1.3322676295501878e-15
7,5.329070518200751e-15
8,2.220446049250313e-15
9,5.329070518200751e-15
10,3.552713678800501e-15
11,3.1086244689504383e-15
12,8.881784197001252e-16
13,6.661338147750939e-15
14,0.0
15,4.440892098500626e-15
16,0.0
17,6.217248937900877e-15
18,0.0
19,1.7763568394002505e-15
20,2.6645352591003757e-15
21,2.220446049250313e-15
22,5.329070518200751e-15
23,2.6645352591003757e-15
24,3.1086244689504383e-15
25,1.3322676295501878e-15
26,2.220446049250313e-15
27,3.1086244689504383e-15
28,5.773159728050814e-15
29,5.329070518200751e-15
30,0.0
31,3.552713678800501e-15
32,6.661338147750939e-15
33,0.0
34,0.0
35,6.217248937900877e-15
36,3.1086244689504383e-15
37,0.0
38,3.552713678800501e-15
39,4.884981308350689e-15
40,3.1086244689504383e-15
41,3.3306690738754696e-15
42,1.5543122344752192e-15
43,3.1086244689504383e-15
44,4.440892098500626e-15
45,4.440892098500626e-15
46,8.881784197001252e-16
47,1.9984014443252818e-15
48,2.6645352591003757e-15
49,2.6645352591003757e-15
50,4.440892098500626e-16
51,1.5543122344752192e-15
52,2.4424906541753444e-15
53,2.4424906541753444e-15
54,2.6645352591003757e-15
55,3.9968028886505635e-15
56,0.0
57,1.5543122344752192e-15
58,2.4424906541753444e-15
59,2.220446049250313e-16
60,2.220446049250313e-15
61,1.1102230246251565e-15
62,1.5543122344752192e-15
63,1.1102230246251565e-15
64,1.3322676295501878e-15
65,1.5543122344752192e-15
66,3.774758283725532e-15
67,0.0
68,2.6645352591003757e-15
69,0.0013128089582773823
70,0.0008060309722758859
71,0.0007205786349323306
72,0.0009146790642284427
73,0.0009655720061595596
74,0.000696293044476391
75,0.0006434367468165938
76,0.00034185863594870175
77,0.00022363840773119046
78,8.593858471859932e-05
79,0.00017943584567531705
80,0.0001528125793605389
81,0.0009182921076989088
82,0.0007176172346981379
83,0.0006509463615914958
84,0.0009626708246411435
85,0.0010344550474196638
86,0.0009161125271403741
87,0.0007628274257930465
88,0.0006201881798206473
89,0.0003171078503003156
90,0.00011223214766960952
91,5.750349570338909e-05
92,9.186830055615386e-06
93,0.0002465971269017659
94,0.0002679165649570728
95,6.37428026987268e-05
96,0.0006118936940561154
97,0.0004559404564534762
98,0.00020126845449107276
99,0.0007803716665451434
100,0.0008470709643790634
101,0.00039037598401447205
102,0.00019631232368740563
103,0.0003552818328785633
104,0.0001240620197929489
105,0.0004398308774155261
106,0.0004493087579703339
107,0.0003165451611098747
108,0.0003892385685678005
109,0.0003127526132860596
110,0.0007219761992726946
111,0.0006916811737406639
112,0.0004958695221901835
113,0.0003664309465590786
114,1.986639126789853e-05
115,0.00032243634510264037
116,0.00037860408304154136
117,4.964853314609425e-06
118,0.00025071113637627765
119,0.00036113638232466424
120,5.7624397291716557e-05
121,9.180617376715356e-05
122,1.1112479133850804e-05
123,8.82439002361035e-05
124,2.08398235062036e-05
125,0.00043255979216729764
126,0.00018022801322948467
127,0.0001251313996528565
128,0.00021187153897687927
129,0.0003277343983414319
130,0.0003126287536285579
131,0.0008465580807266418
132,0.0007010735736868228
133,0.0004013558809797023
134,0.00047845415653984387
135,0.0006410940983995035
136,0.0010705102975687583
137,0.000642395497054895
138,0.0008441559011714207
139,0.0014017563788765374
140,0.0014877411487393478
141,0.0010985915497847495
142,0.0016605393270193328
143,0.0019389139073303068
144,0.001383291695141369
145,0.0014138981143194315
146,0.002665518270989229
147,0.002648138667634195
148,0.0024782459577999036
149,0.003364170475596227
150,0.003901232056427864
151,0.00465766217452199
152,0.0036431722044548247
153,0.003937502002059476
154,0.003310318564352541
155,0.0026379961317340955
156,0.0020639606986256978
157,0.002334014875604323
158,0.002072772179332849
159,0.00166521284846352
160,0.0016960600089473024
161,0.0015597088432739718
162,0.0014933872301706576
163,0.0023161049435746284
164,0.003092903869575414
165,0.0029238511375596263
166,0.0032007184679537872
167,0.003562385178953113
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
