,0
0,2.3288483699500655
1,1.4378722292258792
2,1.1253268697348668
3,1.0712370710552708
4,0.850372483875164
5,0.7381431416361783
6,0.6356870749078248
7,0.5500852422751142
8,0.480120415105967
9,0.4876481410742578
10,0.5007553448709653
11,0.47814868329365456
12,0.4678675050264498
13,0.47112304235997404
14,0.43913069422641743
15,0.3955676793874468
16,0.6759681546700894
17,0.6619344725590635
18,0.6455573614416265
19,0.6053996977567193
20,0.5351281968275191
21,0.5112331712141739
22,0.47395603957804205
23,0.4544782576286356
24,0.4278951249618262
25,0.40585242166450486
26,0.39622436595039684
27,0.3780872381992671
28,0.3504036866273108
29,0.32958295312950864
30,0.32037236306578165
31,0.292048573129635
32,0.2705432200270718
33,0.2602386497168887
34,0.25076214507650607
35,0.2566060400315839
36,0.25518271547347454
37,0.24024513660417202
38,0.22287857544702552
39,0.23783205821438372
40,0.2407442611893835
41,0.23898134861894324
42,0.4354518838272733
43,0.4162227426845285
44,0.4060946937060699
45,0.3929613151445538
46,0.36688742835706684
47,0.3458392210704231
48,0.3190229340584312
49,0.29975114960061855
50,0.2663287327023496
51,0.2390842705523526
52,0.22804336295727867
53,0.20778270043330518
54,0.19287467773105546
55,0.18052583400668468
56,0.1737327633886889
57,0.1559197578466353
58,0.14257229602133192
59,0.1456593686064428
60,0.14695892592780682
61,0.14424330977245517
62,0.1446676629544756
63,0.14139899945130133
64,0.15508911023771377
65,0.1456909481913658
66,0.1437699127615649
67,0.14703733152985185
68,0.13900023614718507
69,0.1528123393128538
70,0.15692856597758303
71,0.15937088622571982
72,0.16327500650521348
73,0.15763450382237876
74,0.15359200267949483
75,0.15462048010299756
76,0.15914664584845248
77,0.16605694433848026
78,0.16617790432224402
79,0.1677341850723027
80,0.1673540250705625
81,0.15742829809575043
82,0.15254367163585175
83,0.15588809622668806
84,0.15739809642397207
85,0.15487240576267564
86,0.1487998381111213
87,0.14717845689750847
88,0.169586535301691
89,0.1705276614313989
90,0.1685824188150726
91,0.16599915319524944
92,0.16558328090300425
93,0.1710940920037741
94,0.1671776797889072
95,0.1673589943330702
96,0.16951620779045676
97,0.18366607003166688
98,0.18328770965575997
99,0.19210341538982303
100,0.19137979789782353
101,0.2023545209224136
102,0.19707308352733624
103,0.18642934061196903
104,0.17238596642920523
105,0.1722716588833286
106,0.20563751150173196
107,0.1898348233336075
108,0.1943306953051837
109,0.18336872069753238
110,0.17458323414761143
111,0.1832335219955655
112,0.17037755044321135
113,0.1708563594529033
114,0.16635953421524122
115,0.16376633430103404
116,0.16587192785842494
117,0.16742318944760154
118,0.16131749815281407
119,0.16383139943476305
120,0.1571095718321816
121,0.16278821048519648
122,0.15367129334507448
123,0.1517052614785651
124,0.16065932823899953
125,0.1671120087767697
126,0.17429528331426378
127,0.17532162861929443
128,0.17837428467711644
129,0.192901780882667
130,0.19252577331678525
131,0.20809873339332538
132,0.22912784124065513
133,0.24801318526981952
134,0.2551075792518144
135,0.2593373090994843
136,0.2535331653069116
137,0.2587836665722585
138,0.26676538896024243
139,0.2874423945501666
140,0.2881446189803439
141,0.28830266959770373
142,0.23872776914986718
143,0.19963175864983795
144,0.1830847766645977
145,0.18768546270077266
146,0.19467897445358553
147,0.15801060482005855
148,0.15587841599299423
149,0.16713839040901207
150,0.16789711580054645
151,0.1625877889824467
152,0.1602422297537788
153,0.16816457722706069
154,0.17014514732036495
155,0.165410523846141
156,0.19285216901744562
157,0.1791342469307292
158,0.18492600290336175
159,0.1916300337142676
160,0.1934185970190954
161,0.1656898206908624
162,0.1666505714428203
163,0.1613751661676975
164,0.1625557494493515
165,0.1520631784554186
166,0.15121302137930623
167,0.14472294431372842
168,0.20826668337257767
169,0.20210742442681692
170,0.2045250764518347
171,0.19878985233118351
172,0.18201569489844072
173,0.17236562637445424
174,0.16206207567078215
175,0.15814597474756847
176,0.14958256005618534
177,0.14900614240375232
178,0.15121606189296466
179,0.15828146774771085
180,0.16671352019128893
181,0.17166398564843022
182,0.17789346919064736
183,0.1810599995716087
184,0.21212526636666226
185,0.24099682026435568
186,0.2752620072985499
187,0.31063735127821784
